ORG CODE,EMPLOYEE NAME,POSITION TITLE,IPN,PP,SERIES,GD,TARGET GR,OFC,CAT CODE,EOD CIS,ENTER PRES GR,WORK SCHEDULE,ORG_CODE_LEVEL_2_DESCR,ORG_CODE_LEVEL_3_DESCR,ORG_CODE_LEVEL_4_DESCR,ORG_CODE_LEVEL_5_DESCR,CITY_NAME,STATE_NAME
CI3010000000000000,ALLEN REBECCA,,,,,,,,,,2024-10-08,,,,,,,
CI3000000000000000,DAY PHILLIP,,,,,,,,,,2024-10-12,,,,,,,
CI3020000000000000,NELSON RACHEL,,,,,,,,,,2024-10-13,,,,,,,
CI3010000000000000,WALLACE PAULA,,,,,,,,,,2024-11-02,,,,,,,
CI3010000000000000,LOGAN PATRICK,,,,,,,,,,2024-11-09,,,,,,,
CI3010000000000000,GONZALEZ AMY,,,,,,,,,,2024-11-14,,,,,,,
CI3000000000000000,PATTERSON AARON,,,,,,,,,,2024-12-09,,,,,,,
CI3010000000000000,CURTIS JILLIAN,,,,,,,,,,2024-12-11,,,,,,,
CI3010000000000000,EVANS JAMIE,,,,,,,,,,2024-12-17,,,,,,,
CI3020000000000000,MYERS JARED,,,,,,,,,,2024-12-28,,,,,,,
CI3000000000000000,GIBSON FAITH,,,,,,,,,,2025-01-09,,,,,,,
CI3000000000000000,HARRIS JOHN,,,,,,,,,,2025-01-12,,,,,,,
CI3020000000000000,STOKES EVERETT,,,,,,,,,,2025-01-18,,,,,,,
CI3020000000000000,KINGSTON FRANK,,,,,,,,,,2025-01-21,,,,,,,
CI3000000000000000,REED OWEN,,,,,,,,,,2025-02-06,,,,,,,
CI3020000000000000,BLACK ADAM,,,,,,,,,,2025-02-09,,,,,,,
CI3020000000000000,WOODS BRADLEY,,,,,,,,,,2025-02-11,,,,,,,
CI3000000000000000,THOMAS MICHAEL,,,,,,,,,,2025-02-14,,,,,,,
CI3020000000000000,BOYD NAOMI,,,,,,,,,,2025-02-23,,,,,,,
CI3000000000000000,YOUNG CHARLES,,,,,,,,,,2025-03-02,,,,,,,
CI3020000000000000,JENKINS NATHAN,,,,,,,,,,2025-03-10,,,,,,,
CI3020000000000000,HORTON SIENNA,,,,,,,,,,2025-03-25,,,,,,,
CI3010000000000000,MARTIN SARAH,,,,,,,,,,2025-04-03,,,,,,,
CI3010000000000000,HOLT CHELSEA,,,,,,,,,,2025-04-06,,,,,,,
CI3000000000000000,DIAZ STEVEN,,,,,,,,,,2025-04-18,,,,,,,
CI3010000000000000,HENRY CAMERON,,,,,,,,,,2025-05-02,,,,,,,
CI3020000000000000,BENNETT TYLER,,,,,,,,,,2025-05-19,,,,,,,
CI3000000000000000,FOSTER JUSTIN,,,,,,,,,,2025-05-28,,,,,,,
CI3010000000000000,MORGAN HANNAH,,,,,,,,,,2025-06-04,,,,,,,
CI3020000000000000,BRYANT GREGORY,,,,,,,,,,2025-06-09,,,,,,,
CI3010000000000000,HERNANDEZ EMILY,,,,,,,,,,2025-06-13,,,,,,,
CI3020000000000000,ROBERTS KEVIN,,,,,,,,,,2025-06-22,,,,,,,
CI3000000000000000,SULLIVAN RICHARD,,,,,,,,,,2025-06-27,,,,,,,
CI3010000000000000,MCGUIRE HOLDEN,,,,,,,,,,2025-06-30,,,,,,,
CI3010000000000000,PRICE ANGELA,,,,,,,,,,2025-07-01,,,,,,,
CI3010000000000000,HAYES MONICA,,,,,,,,,,2025-07-15,,,,,,,
CI3020000000000000,PARKER SYDNEY,,,,,,,,,,2025-07-22,,,,,,,
CI3000000000000000,PENA KENNETH,,,,,,,,,,2025-07-25,,,,,,,
CI3000000000000000,CRAWFORD TESSA,,,,,,,,,,2025-08-02,,,,,,,
CI3000000000000000,MANNING BRITTANY,,,,,,,,,,2025-08-14,,,,,,,
CI3000000000000000,COLEMAN LUCAS,,,,,,,,,,2025-08-20,,,,,,,
CI3010000000000000,HUGHES CLAIRE,,,,,,,,,,2025-08-29,,,,,,,
CI3020000000000000,FLORES MARK,,,,,,,,,,2025-09-16,,,,,,,
CI3000000000000000,STEVENS ISAAC,,,,,,,,,,2025-09-23,,,,,,,
CI3020000000000000,CLARK JASON,,,,,,,,,,2025-09-29,,,,,,,
