ORG_CODE,Employee Name,APPNT EFF DATE,APPNT NOA ,APPNT 1ST AUTH,POSITION TITLE,SERIES,GRADE,TENURE,ORG_CODE_LEVEL_2_DESCR,ORG_CODE_LEVEL_3_DESCR,ORG_CODE_LEVEL_4_DESCR,ORG_CODE_LEVEL_5_DESCR
CI3020000000000000,ROBERTS KEVIN,2024-01-01,,,,,,,,,,
CI3020000000000000,CLARK JASON,2024-01-17,,,,,,,,,,
CI3020000000000000,BENNETT TYLER,2024-02-01,,,,,,,,,,
CI3000000000000000,HARRIS JOHN,2024-02-11,,,,,,,,,,
CI3000000000000000,THOMAS MICHAEL,2024-02-25,,,,,,,,,,
CI3010000000000000,ALLEN REBECCA,2024-02-27,,,,,,,,,,
CI3010000000000000,MARTIN SARAH,2024-03-24,,,,,,,,,,
CI3000000000000000,YOUNG CHARLES,2024-04-12,,,,,,,,,,
CI3000000000000000,COLEMAN LUCAS,2024-06-05,,,,,,,,,,
CI3010000000000000,PRICE ANGELA,2024-06-07,,,,,,,,,,
CI3020000000000000,KINGSTON FRANK,2024-07-15,,,,,,,,,,
CI3010000000000000,HERNANDEZ EMILY,2024-08-08,,,,,,,,,,
