ORG CODE,EMPLOYEE NAME,POSITION TITLE,IPN,PP,SERIES,GD,TARGET GR,OFC,CAT CODE,EOD CIS,ENTER PRES GR,WORK SCHEDULE,ORG_CODE_LEVEL_2_DESCR,ORG_CODE_LEVEL_3_DESCR,ORG_CODE_LEVEL_4_DESCR,ORG_CODE_LEVEL_5_DESCR,CITY_NAME,STATE_NAME
CI1740010005000000,FORD LINDA,,,,,,,,,,2024-10-07,,,,,,,
CI1740010005000000,PEREZ NATALIE,,,,,,,,,,2024-10-19,,,,,,,
CI1740010005000000,PERRY VICTORIA,,,,,,,,,,2024-10-22,,,,,,,
CI1740010005000000,SOTO MIRIAM,,,,,,,,,,2024-10-28,,,,,,,
CI1740010005000000,CARTER AMANDA,,,,,,,,,,2024-11-05,,,,,,,
CI1740010005000000,FRANKLIN SPENCER,,,,,,,,,,2024-11-24,,,,,,,
CI1740010005000000,WOOD ASHLEY,,,,,,,,,,2024-12-02,,,,,,,
CI1740010005000000,ALEXANDER RITA,,,,,,,,,,2025-01-03,,,,,,,
CI1740010005000000,COOK ALICIA,,,,,,,,,,2025-03-21,,,,,,,
CI1740010005000000,LEWIS MEGAN,,,,,,,,,,2025-05-11,,,,,,,
CI1740010005000000,REYNOLDS HAILEY,,,,,,,,,,2025-06-15,,,,,,,
CI1740010005000000,SHERMAN LANCE,,,,,,,,,,2025-07-03,,,,,,,
CI1740010005000000,WASHINGTON SIERRA,,,,,,,,,,2025-07-10,,,,,,,
CI1740010005000000,SPENCER LOGAN,,,,,,,,,,2025-07-18,,,,,,,
CI1740010005000000,MASON TRAVIS,,,,,,,,,,2025-09-08,,,,,,,
