ORG CODE,EMPLOYEE NAME,POSITION TITLE,IPN,PP,SERIES,GD,TARGET GR,OFC,CAT CODE,EOD CIS,ENTER PRES GR,WORK SCHEDULE,ORG_CODE_LEVEL_2_DESCR,ORG_CODE_LEVEL_3_DESCR,ORG_CODE_LEVEL_4_DESCR,ORG_CODE_LEVEL_5_DESCR,CITY_NAME,STATE_NAME
CI1740010000000000,BUTLER ANDREW,,,,,,,,,,2024-10-31,,,,,,,
CI1740010001000000,ROSS OLIVIA,,,,,,,,,,2024-11-27,,,,,,,
CI1740010001000000,HICKS DAMON,,,,,,,,,,2024-11-30,,,,,,,
CI1740010000000000,RAY WHITNEY,,,,,,,,,,2024-12-06,,,,,,,
CI1740010000000000,WALKER ERIC,,,,,,,,,,2024-12-14,,,,,,,
CI1740010000000000,WARREN BIANCA,,,,,,,,,,2024-12-21,,,,,,,
CI1740010000000000,POWELL ETHAN,,,,,,,,,,2025-01-16,,,,,,,
CI1740010000000000,WEST GERALD,,,,,,,,,,2025-01-29,,,,,,,
CI1740010001000000,RIVERA SAMANTHA,,,,,,,,,,2025-02-28,,,,,,,
CI1740010001000000,MCDONALD TARA,,,,,,,,,,2025-03-05,,,,,,,
CI1740010000000000,RUSSELL PETER,,,,,,,,,,2025-03-09,,,,,,,
CI1740010001000000,FOX DERRICK,,,,,,,,,,2025-03-13,,,,,,,
CI1740010001000000,SIMMONS KAYLA,,,,,,,,,,2025-03-17,,,,,,,
CI1740010000000000,WILSON DAVID,,,,,,,,,,2025-03-30,,,,,,,
CI1740010001000000,KENNEDY BROOKE,,,,,,,,,,2025-04-01,,,,,,,
CI1740010001000000,LONG ISABELLA,,,,,,,,,,2025-04-14,,,,,,,
CI1740010001000000,BALDWIN CONNOR,,,,,,,,,,2025-04-20,,,,,,,
CI1740010000000000,MORRIS RYAN,,,,,,,,,,2025-04-25,,,,,,,
CI1740010000000000,BISHOP AVERY,,,,,,,,,,2025-05-15,,,,,,,
CI1740010000000000,HAMILTON BLAKE,,,,,,,,,,2025-05-24,,,,,,,
CI1740010000000000,PORTER KIMBERLY,,,,,,,,,,2025-06-06,,,,,,,
CI1740010000000000,WYATT ELAINE,,,,,,,,,,2025-06-19,,,,,,,
CI1740010001000000,HALL KATHERINE,,,,,,,,,,2025-07-06,,,,,,,
CI1740010001000000,GRAHAM DENISE,,,,,,,,,,2025-08-11,,,,,,,
CI1740010001000000,KING LAURA,,,,,,,,,,2025-08-17,,,,,,,
CI1740010001000000,CARSON DANIELLE,,,,,,,,,,2025-08-24,,,,,,,
CI1740010001000000,GOODMAN CALEB,,,,,,,,,,2025-09-01,,,,,,,
CI1740010001000000,GRIFFIN DANA,,,,,,,,,,2025-09-05,,,,,,,
CI1740010000000000,BARNES BRIAN,,,,,,,,,,2025-09-11,,,,,,,
CI1740010000000000,HANSON ELLIOT,,,,,,,,,,2025-09-27,,,,,,,
